created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls,location,description
2020-10-10 05:41:16,1314803161400446977,@thesashaprofit Because he called for a screen from Danny Green and try to get a switch on Duncan Robinson setting up a pick and pop,TheNextBlGThing,Sasha Banks ̶S̶i̶t̶h̶ Simp Lord,Wed Jun 23 01:28:50 +0000 2010,[],LA,"Frank. 26. 🇵🇭. tweets about sasha banks, wrasslin, basketball, marvel, dc, anything I like. not a fan account. #MFFL #WHYNOT"
2020-10-10 05:41:15,1314803159374594050,RT @LakeShowYo: if Danny Green would’ve shot at Tupac he’d still be alive today,lucaszapata__,lucas,Sat Sep 24 03:16:29 +0000 2016,[],"California, USA",married to @blurriess & @vicnipple is my banner 🥰
2020-10-10 05:41:15,1314803159034929152,"RT @mldiffley: Nobody:

Danny Green: https://t.co/7inpQKXuzk",MrC_Reality,Yeng Badness,Thu Dec 15 15:18:12 +0000 2011,[],The Moon,
2020-10-10 05:41:15,1314803158682603520,RT @seb_lco: Yo solo digo que Jordan no se la hubiese pasado a Danny Green. https://t.co/sr65oECoaP,Jesus13JE,Jesús A.Especier,Sun Apr 07 22:37:21 +0000 2013,[],Guarenas Edo Miranda Venezuela,Mi Dios Padre Primero. Nací en Los Llanos De Apure Lo Mas Criollito Del Mapa Tal Vez No Tengo Lo Que Quiero Pero Aprecio Mucho Lo Que Tengo Actualmente Vivo En:
2020-10-10 05:41:15,1314803158644936704,Danny green hit the shot we not talkin bout shit,shocklitosway,Shockaveli,Sun May 09 23:11:35 +0000 2010,[],,
2020-10-10 05:41:15,1314803158514831360,"RT @sreekyshooter: the Lakers              the Holocaust
 hopes of                  Memorial in
  winning                        Berlin…",steliocon22,Stelio,Wed Sep 20 03:02:14 +0000 2017,[],"Winnipeg, Manitoba",I tweet for fun
2020-10-10 05:41:15,1314803157923491840,Danny Green sa maman,RobertMengue,Robert Mengue,Tue Jul 17 07:37:14 +0000 2012,[],,"Je suis en vie, je me dois de mener une existence qui vaille la peine d'être vécue.
Robson De Souza"
2020-10-10 05:41:15,1314803157470531584,"Ok i get it Danny Green was bad...
BUT Was it worse than JR Smith????

Think About It",VaultWarriorEJ,Commish Elote,Sun Jan 19 06:23:28 +0000 2014,[],"Houston, TX",This Frontline Shit Got Old Real Quick.
2020-10-10 05:41:15,1314803157239816193,RT @Mxhalla: LeBron when he sees Danny Green in the cafeteria #NBAFinals,ForMyAmbition,Kush Magnus,Tue Aug 30 23:37:14 +0000 2011,[],"Paterson, NJ","Find inner peace inside Heaven, find diamond piece inside Hell"
2020-10-10 05:41:14,1314803154962317313,"RT @marcussmartsta1: Lebron when he walks in tomorrow and sees 

Danny green 
Kuzma
Markief Morris 
Howard 
Caruso 

 https://t.co/VGtfJfP2…",harryy_011,B.a.d.e.x_🦍,Tue Aug 29 14:18:13 +0000 2017,[],IN MY ZONE😤,"Budding Lawyer, could’ve should’ve would’ve been a pro baller, Roadman🦍, South-west, Red devil🔴⚫️."
